date,spread,ratevol,fed_mbs_chg,bank_chg,fair_value,residual,crowding_score
2005-08-31,1.75,0.049559968484559784,0.0,-11.586900000000014,1.877853222053593,-0.12785322205359306,56.59197944791712
2005-09-30,1.5700000000000003,0.03669046846512779,0.0,18.45119999999997,1.7629544658008691,-0.19295446580086884,66.28121675719105
2005-10-31,1.58,0.03915780041490329,0.0,-9.426500000000033,1.7785871723598143,-0.19858717235981427,65.07913876462878
2005-11-30,1.79,0.048225660033993936,0.0,-13.421600000000126,1.8645095247501569,-0.07450952475015682,55.56566364259744
2005-12-31,1.83,0.04354526927452106,0.0,2.596900000000005,1.8241960287678431,0.005803971232156924,55.65345176879703
2006-01-31,1.5899999999999999,0.03374977954072716,0.0,10.88630000000012,1.7325280222850414,-0.14252802228504158,66.33221664429347
2006-02-28,1.71,0.028859264419891516,0.0,9.419799999999896,1.6851409794077663,0.02485902059223366,63.75711847845352
2006-03-31,1.4899999999999993,0.04140968370758194,0.0,-18.730499999999893,1.7975214962970554,-0.30752149629705605,67.24641480567001
2006-04-30,1.5099999999999998,0.04134062915640843,0.0,34.89560000000006,1.8123642414610193,-0.3023642414610195,67.12480063442248
2006-05-31,1.5,0.03659299959073739,0.0,5.087699999999813,1.7581544580664943,-0.2581544580664943,68.34501829133298
2006-06-30,1.63,0.04238148742305475,0.0,-2.37279999999987,1.811583398889028,-0.18158339888902808,62.68401497701069
2006-07-31,1.7299999999999995,0.03961120572575011,0.0,10.772799999999961,1.7887817497175398,-0.058781749717540244,60.23525311190487
2006-08-31,1.7000000000000002,0.027472930399977016,0.0,13.286499999999933,1.6729462341569774,0.02705376584302277,64.47781410705323
2006-09-30,1.67,0.03325228241360823,0.0,-36.215599999999995,1.7141312098138841,-0.04413120981388419,63.47244494110746
2006-10-31,1.79,0.03965926301454947,0.0,38.08889999999997,1.797141627374176,-0.007141627374176007,58.46012128050869
2006-11-30,1.6799999999999997,0.041490102089879764,0.0,-2.024799999999914,1.8031241599680015,-0.12312415996800175,61.274175336895645
2006-12-31,1.4699999999999998,0.04097618355883915,0.0,-4.825700000000097,1.797379190316085,-0.3273791903160852,68.09078471332485
2007-01-31,1.42,0.03355166591563465,0.0,6.8551000000002205,1.7294599493105287,-0.3094599493105288,71.44447164622112
2007-02-28,1.6600000000000001,0.04477456761111135,0.0,1.7528999999999542,1.8357567868831473,-0.1757567868831471,61.090805552486586
2007-03-31,1.5099999999999998,0.034288690347027785,0.0,-13.709600000000137,1.7305912659214648,-0.22059126592146505,68.44280059573349
2007-04-30,1.5300000000000002,0.03345216912320768,0.0,-16.310600000000022,1.7218061834258958,-0.1918061834258955,68.0180622393226
2007-05-31,1.5199999999999996,0.02321739905863019,0.0,-1.2104999999999109,1.627889121373472,-0.10788912137347251,70.90844466171293
2007-06-30,1.6399999999999997,0.058006567772640995,0.0,-10.172000000000025,1.959373978308527,-0.31937397830852743,58.032456978025316
2007-07-31,1.9100000000000001,0.06005156514355444,0.0,4.355299999999943,1.983212369839317,-0.07321236983931678,48.20746545987679
2007-08-31,1.9100000000000001,0.04857002799101212,0.0,-2.8444999999999254,1.8708747922713227,0.03912520772867745,51.39225058498501
2007-09-30,1.83,0.06007534951248885,0.0,-15.026800000000094,1.9778364771104822,-0.1478364771104821,50.807231608794595
2007-10-31,1.8499999999999996,0.04994759158119617,0.0,-26.782899999999927,1.8771816288112544,-0.027181628811254743,52.85872774023547
2007-11-30,2.1299999999999994,0.07446315803645444,0.0,1.6282000000001062,2.12081656675558,0.009183433244419614,36.70546152557463
2007-12-31,2.13,0.08512455859615692,0.0,-14.883299999999963,2.218422405154869,-0.08842240515486921,33.79126471438695
2008-01-31,2.01,0.07892431576547058,0.0,-14.681900000000041,2.1589404797577334,-0.1489404797577336,39.3193494621741
2008-02-29,2.7100000000000004,0.09846923619176993,0.0,5.820799999999963,2.352556226650705,0.3574437733492952,16.399221125721635
2008-03-31,2.3999999999999995,0.10401465098267508,0.0,17.26319999999987,2.4091166987761965,-0.00911669877619703,22.22579953772693
2008-04-30,2.2600000000000002,0.06152041860034736,0.0,-13.740199999999959,1.9920853131256322,0.26791468687436804,35.74604907053983
2008-05-31,2.0200000000000005,0.06507504825017017,0.0,8.86440000000016,2.0327560487407372,-0.01275604874073677,43.01729539164601
2008-06-30,2.46,0.07016646872497867,0.0,17.453399999999874,2.0841318157296738,0.3758681842703262,27.84228028350724
